people,temperature,humidity,lightIntensity,noise,co2,pm25,airflow,energy,comfort
10,24.967745632119755,56.270620588912685,356,44,1067,11.938491745392968,0.21633787879127836,0.2736162049922051,69.72182723474387
10,25.290333555183974,55.85542684002152,346,41,1081,13.476292254613844,0.23268525268512016,0.22524742160363836,74.25625991545961
10,24.413864968176227,53.814802562127554,397,35,1045,15.166823358679665,0.22488354743342615,0.2597255898964794,18.443587054428416
10,25.036002002836536,51.49341399941534,320,41,1013,13.36349530656277,0.23061669190236128,0.2512973861040701,64.28921194345132
10,25.214920750674327,54.42437185362479,321,42,1055,16.01980346126,0.27192301818792897,0.2738185721948385,63.195719608884005
10,26.0,59.43835604391521,336,40,1000,15.728206320341473,0.2687852505865046,0.23190451198925846,6.938672798873282
10,24.776294817866802,51.20740718439846,313,37,1070,14.373490892003021,0.2676212058683224,0.2375054818234064,20.391858800189652
10,24.69405867075974,55.83913383504142,320,45,1010,15.333433512136933,0.2168228868871467,0.26829523123070825,37.44653044174394
10,24.97221609379338,53.945084231249005,339,38,1083,15.359400050083215,0.21940266025248478,0.28338987506566893,42.865279566374625
10,25.19404175309278,51.62155900084334,352,35,1043,13.941562311140185,0.24223493497330265,0.25371159993390957,66.85584350793413
10,24.501823295482694,52.047578183916364,354,42,1005,15.820273069461562,0.2528055848518061,0.28260728999321294,26.760790865938347
10,25.38048060998695,56.43433809941055,359,41,978,11.97948217643025,0.24473508181606643,0.221240589482933,63.955842801931844
10,24.65364529047355,50.01,323,43,945,16.64660910586516,0.26974221406649684,0.2578564144250562,55.94639532941727
10,25.84821319551101,56.6279292660087,368,35,957,13.883442227637596,0.22122127122739435,0.24558186665275758,60.548133271711194
10,24.513218079955415,56.94760386016487,324,37,974,19.97,0.258128747179646,0.25679778612039106,18.3642132133947
10,25.209689135872836,54.74467086321782,372,41,1048,14.978584615584907,0.24463501459642392,0.23533547435315397,47.95663414599927
10,25.09129477391298,50.01,366,39,984,11.60367949536041,0.2413173824832496,0.22562754570143614,47.8513483044199
10,25.807184188070224,55.88414087498179,335,42,911,10.0,0.24590106529762168,0.2544957057127439,9.493695793878663
10,24.511277989491514,52.68191725741428,340,35,912,15.648316029925216,0.2576586409281828,0.2817229923221701,40.998938603192855
